LAD 2021 Code,LAD 2021 Name,LSOA 2021 Code,LSOA 2021 Name,LA Name,Total,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
E06000015,Derby,E01013498,Derby 028B,Derby,726,9,11,3,12,7,9,13,4,11,7,13,7,11,15,7,6,5,4,8,14,6,14,9,5,11,3,6,6,10,11,6,8,15,17,16,5,11,10,13,6,6,11,6,3,9,3,8,7,12,9,12,12,6,11,13,6,9,8,11,10,6,10,9,5,4,12,8,9,9,5,1,5,11,6,9,9,8,5,6,3,10,5,3,3,10,6,4,1,1,2,5
E06000015,Derby,E01013499,Derby 028C,Derby,748,5,11,8,13,11,5,12,7,6,10,17,6,12,13,3,7,4,17,17,11,10,9,9,13,10,12,11,7,12,7,18,8,13,16,13,12,12,6,14,10,6,7,9,5,6,10,5,9,2,6,9,6,10,11,10,9,8,10,10,15,13,10,9,7,7,12,13,9,9,5,3,8,4,4,4,4,7,5,4,7,1,0,4,5,4,3,3,1,1,1,1
E06000015,Derby,E01013500,Derby 028D,Derby,794,8,9,7,6,4,11,13,13,13,8,9,7,8,9,9,9,13,4,7,7,6,7,7,4,3,11,7,8,10,11,15,12,15,9,13,13,10,5,9,5,11,10,2,18,10,7,9,5,5,7,11,9,18,14,9,10,7,15,13,10,10,11,6,12,13,6,16,11,10,5,6,4,7,3,7,10,12,12,10,11,8,4,10,5,7,7,3,5,1,3,5
E06000015,Derby,E01013501,Derby 028E,Derby,723,7,7,7,12,6,10,5,9,9,8,6,8,8,5,6,15,11,12,6,0,7,15,12,7,4,7,12,7,6,11,8,15,9,3,7,9,10,8,6,14,8,10,7,6,4,5,6,5,7,8,5,8,5,15,14,12,11,9,11,15,12,10,11,8,11,6,10,7,8,3,7,6,8,14,16,13,4,10,12,9,4,4,4,9,2,1,0,2,2,1,4
E06000015,Derby,E01013502,Derby 025E,Derby,720,4,9,9,10,11,8,8,7,6,6,10,8,12,12,18,10,8,6,7,10,17,9,6,8,5,10,11,6,7,8,9,6,6,10,12,6,9,17,12,8,10,11,12,12,12,13,7,11,14,20,15,8,7,13,9,8,7,9,12,8,17,8,10,15,6,5,4,5,8,6,6,5,4,4,6,4,4,4,1,3,3,0,1,2,0,0,5,0,2,2,1
E06000015,Derby,E01013503,Derby 025F,Derby,790,10,15,13,12,10,7,8,9,11,13,12,8,11,10,9,8,10,9,9,11,9,12,7,5,6,7,9,10,11,16,13,17,16,12,19,13,5,10,17,14,12,15,10,12,7,6,12,11,9,9,7,7,12,10,9,15,12,11,12,15,8,9,9,4,9,9,4,7,7,9,7,7,5,4,9,8,5,1,1,4,2,4,3,2,1,1,0,0,0,0,5
E06000015,Derby,E01013504,Derby 026C,Derby,929,13,12,17,12,9,16,17,22,12,20,20,22,23,15,17,17,12,14,25,15,17,11,16,5,15,5,4,8,9,6,26,19,17,17,18,16,13,8,17,11,10,12,11,8,9,7,17,15,10,13,11,9,13,17,12,14,8,9,7,12,11,6,9,8,12,4,10,5,3,6,3,1,1,3,1,3,8,5,1,3,3,1,1,2,2,2,0,2,1,0,0
E06000015,Derby,E01013505,Derby 006A,Derby,732,7,15,6,10,11,5,7,4,2,4,6,12,13,12,7,13,9,6,6,13,9,7,12,8,9,2,9,4,8,9,18,15,12,7,8,11,14,11,5,9,8,14,5,10,6,5,9,10,10,7,16,10,9,15,11,11,11,12,11,13,6,11,10,9,6,18,7,10,10,7,6,7,9,7,6,4,3,4,8,1,5,3,1,2,2,2,0,1,3,2,4
E06000015,Derby,E01013506,Derby 006B,Derby,720,3,3,1,5,0,7,8,3,8,8,7,11,8,13,18,10,7,6,6,13,17,8,6,9,9,5,8,6,3,7,5,7,5,6,4,11,6,12,8,8,5,2,7,4,4,7,5,8,11,4,11,8,12,12,12,9,10,7,16,12,9,4,8,10,8,10,11,7,11,13,10,8,8,11,9,18,13,14,8,13,5,5,5,7,5,7,2,3,4,5,8
E06000015,Derby,E01013507,Derby 012A,Derby,762,6,13,4,5,6,8,8,10,3,11,12,7,6,6,8,11,8,9,9,8,9,6,11,6,6,15,12,13,8,13,8,7,8,10,7,4,5,6,4,8,12,8,8,8,4,3,2,9,8,8,20,18,13,15,13,13,12,17,15,21,12,10,6,10,7,9,9,6,8,7,15,10,8,6,16,11,7,9,2,6,7,8,4,3,5,3,1,2,1,1,2
E06000015,Derby,E01013508,Derby 012B,Derby,629,8,3,8,12,13,17,12,9,10,16,10,10,11,15,11,5,8,8,3,9,8,12,7,12,8,9,10,4,3,5,16,14,11,8,7,8,6,2,7,7,3,13,4,7,7,3,6,10,5,13,8,15,12,3,5,7,11,4,8,6,10,6,6,4,2,3,3,8,4,3,6,3,2,7,4,4,6,2,4,4,4,6,4,1,1,4,2,1,2,0,1
E06000015,Derby,E01013509,Derby 012C,Derby,793,8,10,12,10,6,4,6,4,8,6,16,9,11,14,10,9,7,9,15,10,9,6,8,8,11,9,6,13,13,9,7,11,11,8,15,5,9,13,7,5,6,9,12,8,8,8,10,16,6,11,16,12,12,11,13,20,8,11,13,10,9,10,11,6,10,5,13,5,10,10,7,9,12,13,10,14,4,6,10,2,3,5,7,5,3,1,0,0,0,0,6
E06000015,Derby,E01013510,Derby 012D,Derby,772,18,14,14,16,11,9,14,15,17,13,13,13,12,12,17,10,17,12,7,7,8,7,7,9,8,5,7,11,10,5,9,17,6,9,14,10,11,13,12,11,12,13,7,8,8,9,13,5,12,4,10,5,9,15,10,8,5,8,4,11,9,5,5,11,2,4,5,3,9,4,8,6,7,7,4,6,4,4,5,6,0,2,0,6,5,4,3,3,2,4,3
E06000015,Derby,E01013511,Derby 012E,Derby,769,6,6,8,4,11,7,6,6,12,10,9,8,9,8,8,7,6,10,10,10,8,3,9,6,3,7,5,7,4,6,5,11,9,5,7,11,8,12,10,8,8,11,9,3,5,6,9,7,16,13,14,9,14,13,15,15,10,10,15,15,8,10,9,6,11,9,6,8,13,9,11,11,10,17,8,14,4,6,6,3,12,6,6,9,8,7,2,5,5,3,5
E06000015,Derby,E01013512,Derby 012F,Derby,685,9,7,9,8,15,9,5,9,15,14,7,8,13,11,4,7,2,8,12,11,11,10,6,6,6,9,3,6,10,3,14,12,9,13,5,10,6,6,8,8,13,7,5,10,9,9,7,6,19,12,12,14,10,12,11,9,8,14,5,9,4,3,5,5,3,9,8,4,3,6,5,4,4,6,8,13,8,5,4,5,4,9,5,1,0,0,0,1,0,0,8
E06000015,Derby,E01013513,Derby 006C,Derby,676,4,3,6,12,6,8,9,14,11,11,14,14,17,12,8,10,5,10,10,11,7,9,8,10,7,9,12,12,7,14,6,8,6,9,4,4,14,5,15,9,5,12,10,6,8,10,8,4,8,11,3,8,8,8,4,15,9,12,5,4,12,16,5,9,7,9,6,5,5,5,7,2,9,7,6,3,8,3,5,1,4,3,2,0,6,0,1,0,1,0,1
E06000015,Derby,E01013514,Derby 031A,Derby,718,5,6,4,5,8,10,7,6,10,5,7,7,9,7,13,9,6,8,9,11,4,5,8,9,6,16,8,6,9,7,6,10,10,10,5,12,7,8,7,7,9,8,7,13,6,6,9,6,7,8,12,14,8,10,9,13,14,17,18,8,13,14,11,7,13,9,8,8,14,6,5,7,10,10,5,14,6,5,3,9,1,3,2,4,6,2,2,1,3,1,2
E06000015,Derby,E01013515,Derby 031B,Derby,996,11,10,13,17,14,9,11,14,13,15,13,22,22,25,26,11,15,11,18,20,12,11,9,9,9,13,6,11,17,15,9,17,6,10,12,14,8,22,11,11,13,13,12,18,14,19,9,11,13,20,10,14,14,21,17,14,14,9,15,16,10,16,5,9,10,8,10,6,2,9,8,5,12,8,4,9,4,0,8,2,1,3,4,1,3,2,0,2,2,3,2
E06000015,Derby,E01013517,Derby 030B,Derby,773,8,5,11,4,7,6,7,5,6,2,4,9,7,6,7,6,9,8,9,4,14,9,6,13,2,12,17,15,16,10,10,14,11,8,9,5,8,8,8,10,11,9,7,5,7,5,3,13,16,12,6,10,13,9,6,13,7,4,8,11,6,6,10,8,7,12,11,5,11,19,14,6,8,13,8,20,12,5,5,6,10,7,6,2,11,12,6,1,3,3,10
E06000015,Derby,E01013518,Derby 030C,Derby,771,7,4,5,4,5,9,5,10,4,8,7,7,8,6,12,4,4,3,7,10,12,3,8,12,12,7,9,13,10,5,12,11,8,11,8,8,10,9,7,8,5,0,6,4,6,10,11,12,12,8,14,9,11,8,16,16,11,15,16,9,16,12,11,11,9,3,9,11,7,7,10,16,15,12,11,10,9,8,7,4,3,7,7,4,3,2,5,6,5,7,13
